Name,OrgType,Category,Email,Phone,Website,Address,City,State,Zip,Notes
Full Gospel Business Men's Fellowship,business,Men's Business Ministry,,,,,Columbia,SC,,Men's marketplace ministry
The Cola Network,network,Church Unity Network,,,colanetwork.org,,Columbia,SC,,Uniting churches of Greater Columbia — loveCola prayCola careCola
PrayCola,network,Prayer Network,,,praycola.com,,Columbia,SC,,City-wide 24/7 prayer movement
SendCola,network,Gospel Network,,,sendcola.com,,Columbia,SC,,Gospel saturation + church planting network
Columbia Metro Baptist Association,network,Church Association,,(803) 750-1822,cmbasc.net,,Columbia,SC,,180+ church network in Midlands
Columbia Prayer Furnace,network,Prayer Ministry,,,,,Columbia,SC,,24/7 prayer + worship
Crossover Global,missions,Missions Org,,(803) 748-1099,crossoverglobal.org,700 Gervais St,Columbia,SC,29201,International church planting HQ — based in Columbia
LoveCola,missions,Local Missions,,,lovecola.org,,Columbia,SC,,Local mercy + missions initiative
Engage Columbia,missions,Gospel Movement,,,,,Columbia,SC,,Gospel movements + community engagement
Gideons International Columbia,missions,Bible Distribution,,,gideons.org,,Columbia,SC,,Bible distribution ministry
World Help SC Office,missions,International Aid,,,worldhelp.net,,Columbia,SC,,International aid organization
Samaritans Feet SC,missions,Shoe Ministry,,,samaritansfeet.org,,Columbia,SC,,Shoe distribution + evangelism
SC Baptists Cooperative Missions,missions,Church Planting,,(803) 765-0030,scbaptist.org,,Columbia,SC,,Church planting + missions statewide
WMHK 89.7 K-LOVE,media,Christian Radio,,(803) 776-8600,klove.com,,Columbia,SC,,Contemporary Christian radio — large audience
WBAJ 101.3 Gospel Radio,media,Gospel Radio,,(803) 939-9560,,,Columbia,SC,,Gospel radio urban Christian audience
His Radio WCFJ,media,Christian Radio,,,hisradio.com,,Columbia,SC,,Southern Gospel radio station
SC Baptist Convention Media,media,Christian Media,,(803) 765-0030,scbaptist.org,,Columbia,SC,,Press + media arm of SC Baptist Convention
Palmetto Family Council,nonprofit,Family Advocacy,email@palmettofamily.org,(803) 733-5600,palmettofamily.org,,Columbia,SC,,Already listed above — top priority
Care Net of the Midlands,nonprofit,Pregnancy Resource,,(803) 771-2273,carenetharbor.org,,Columbia,SC,,Pregnancy resource center
Birthright of Columbia,nonprofit,Pregnancy Support,,(803) 252-7220,,,1316 Hampton St,Columbia,SC,29201
Bethany Christian Services Columbia,nonprofit,Adoption/Family,,(803) 779-0541,bethany.org,,Columbia,SC,,Adoption + family support services
The Hub for Women,nonprofit,Women's Ministry,,,thehubforwomen.org,,Columbia,SC,,Crisis pregnancy + women's support
Agape Senior,nonprofit,Senior Care,,(803) 726-9730,agapesenior.com,,Columbia,SC,,Faith-based senior care — large operation
Teen Challenge SC,recovery,Recovery Ministry,,(803) 799-0460,teenchallengelengesc.org,,Columbia,SC,,Faith-based addiction recovery
His House Recovery,recovery,Men's Recovery,,(803) 936-4673,hishousesc.org,,Columbia,SC,,Men's Christian recovery + thrift store
FreshSTART Columbia,recovery,Recovery Ministry,,,freshstartcolumbia.org,,Columbia,SC,,Already listed
U-Turn for Christ SC,recovery,Men's Recovery,,(803) 951-2197,uturnforchristsc.com,,Lexington,SC,,Residential Christian men's recovery — Calvary Chapel
Recovery Church Columbia,recovery,Recovery Church,,(803) 221-0055,recovery.church,577 W Killian Rd,Columbia,SC,29203,Church for recovery community — same zip as King
Reconciliation Ministries,recovery,Men's Recovery,,,reconciliation-min.org,,Columbia,SC,,Residential recovery + discipleship
Prison Fellowship SC,prison,Prison Ministry,,,prisonfellowship.org,,Columbia,SC,,Prison ministry statewide presence
Kairos Prison Ministry Broad River,prison,Prison Ministry,,,kairosprisonministry.org,,Columbia,SC,,In-prison Christian discipleship at Broad River
Epworth Childrens Home,nonprofit,Child Care,,(803) 256-7394,,,PO Box 50466,Columbia,SC,29250,Methodist child care + counseling — 100+ years
ManUp SC,men,Men's Ministry,,,manupsc.com,,Columbia,SC,,Men's ministry + discipleship
Iron Sharpens Iron Midlands,men,Men's Ministry,,,ironsharpensiron.net,,Columbia,SC,,Men's conference network
Women of Vision Columbia,women,Women's Ministry,,,,,Columbia,SC,,Women's ministry network
Joni and Friends Carolinas,nonprofit,Disability Ministry,,,joniandfriends.org,,Columbia,SC,,Disability ministry
Columbia Urban League,nonprofit,Urban Justice,,(803) 799-8150,culsc.org,,Columbia,SC,,Urban justice + faith collaboration
City Gate Columbia,nonprofit,Street Ministry,,,,,Columbia,SC,,Downtown street ministry
Camp Fellowship,nonprofit,Christian Camp,,,campfellowship.com,,Columbia,SC,,Christian summer camp
